Company Name,Sector,Country,Region,Indicator,KPI,KPI Value,Unit,Year
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,16.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,56.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,17.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,989.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,749.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,603.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,501.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,831.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,915.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,911.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,862.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,994.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,1.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,878.0,Number,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,92.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,0.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,95.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,0.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,95.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,0.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,566.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,579.0,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,577.6,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,567.6,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,585.3,,2022
3m_corporation,Conglomerates,New york,North america,Number of employees,Number of employees,582.2,,2022
