Company,Sector,Country,Region,Indicator,KPI,Unit,2023,2022,2021,2020
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,3390000,3680000,4140000,4440000
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,25770000,27770000,28830000,26590000
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,22.38,24.09,,
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scopes 1 and GHG emissions per hectoliter of production,kg CO2e/hl,4.46,4.64,5.04,6.43
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,"Scopes 1, 2 and 3 GHG emissions per hectoliter of production",kg CO2e/hl,45.24,47.29,50.03,52.45
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scope 3 GHG emissions per hectoliter of production,kg CO2e/hl,39.30,41.01,42.84,43.70
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Reduction in absolute 1 and 2 GHG emissions,%,,39.2,,
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,"Reduction in Scopes 1, 2 and 3 GHG emissions intensity",%,24.2,20.7,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water used,kL,1440000000,1550000000,1520000000,1410000000
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water use efficiency ratio,Litres/Litres,2.53,2.64,2.64,2.68
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water withdrawn,kL,1700000000,,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water discharged,kL,1010000000,,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Improvement in water efficiency,%,17.9,14.3,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Groundwater,%,40.93,40.6,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Third party,%,40.26,40.3,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Surface water,%,18.80,19.1,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Rainwater,%,0.01,0.1,,
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy consumption,GJ,52940000,55450000,56230000,
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy purchased,GJ,50030000,52710000,53820000,50510000
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy usage per hectoliter of production,MJ/hl,92.99,94.43,97.37,99.50
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy purchased per hectoliter of production,MJ/hl,87.89,89.76,93.19,95.98
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Renewable electricity operational,%,73.6,67.6,41.2,32.2
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Renewable electricity contracted,%,100,97.1,84.7,73.6
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Reduced purchased energy,%,,8.7,,
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Returnable packaging,%,41.2,40.3,37.0,38.2
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled - Cans,%,61.3,56.7,56.2,58.1
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled - Glass,%,48.3,48.0,45.8,45.8
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled - PET,%,42.6,36.5,23.3,31.6
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste reused,Tonnes,,0.650,,
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Eliminated carbon emissions from waste,Tonnes,,5.8,,
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled,%,99.50,22,,
ABSA Group,Financial Services,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,151750,177489,188237,190421
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,21859,15885,12276,12258
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,112516,138157,159708,160682
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,17375,23447,16205,17481
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 3 emissions - Air travel,tCO2e,12449,8365,487,1583
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 3 emissions - Transmission and distribution,tCO2e,2653,13756,14769,14391
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 3 emissions - Private cars,tCO2e,2173,1259,923,1424
ABSA Group,Financial Services,South Africa,Africa,Emissions,Scope 3 emissions - Car hire,tCO2e,100,67,25,83
ABSA Group,Financial Services,South Africa,Africa,Emissions,Carbon intensity,tCO2e/m2,0.14,0.16,,
ABSA Group,Financial Services,South Africa,Africa,Water,Water consumption,kL,265172,194622,190080,
ABSA Group,Financial Services,South Africa,Africa,Water,Water recycled,kL,19042,81352,11180,
ABSA Group,Financial Services,South Africa,Africa,Water,Water intensity,kl/m2,0.28,0.2,0.18,
ABSA Group,Financial Services,South Africa,Africa,Water,Water intensity,kl/FTE,7.4,5.9,5.4,
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - Paper,Tonnes,332,336,378.5,860.8
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - Electronic waste,Tonnes,0,1,1.5,0.4
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - General waste,Tonnes,204,193,249.5,777.4
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - Food waste,Tonnes,12,5,1.3,70.2
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - Coffee cups,Tonnes,17,12,9.5,
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste - Other recyclables,Tonnes,107,72,68.6,97.3
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste generated,Tonnes,672,617,705,1289
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste recycled,Tonnes,468,424,455,811
ABSA Group,Financial Services,South Africa,Africa,Waste,Waste to landfill,Tonnes,204,193,250,478
ABSA Group,Financial Services,South Africa,Africa,Energy,Solar energy generated,GJ,13548,5899,5379,6450
ABSA Group,Financial Services,South Africa,Africa,Energy,Electricity consumption,GJ,499651,567110,648132,654108
ABSA Group,Financial Services,South Africa,Africa,Energy,Diesel consumption,GJ,156364,79878,30708,24011
ABSA Group,Financial Services,South Africa,Africa,Energy,Energy consumption,GJ,801251,777513,812375,808536
ABSA Group,Financial Services,South Africa,Africa,Energy,Energy intensity,GJ/m2,0.842,1.05,1.03,0.940
Accelerate Property Fund,Real Estate,South Africa,Africa,Energy,Energy intensity,GJ/m2,40.2876,526.194,561.834,
Accelerate Property Fund,Real Estate,South Africa,Africa,Water,Water consumption,kL/m2,0.038,0.0675,0.07629999999999999,
Accelerate Property Fund,Real Estate,South Africa,Africa,Waste,Waste recycled,tons per month,24017,10545,,
Acsion,Real Estate,South Africa,Africa,Water,Waste water production,kL,12800.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Energy,Electricity consumption,GJ,202999.572,,,
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,21221,18958,14562,16437
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 2 emissions - Electricity (location-based),tCO2e,53980,55719,,
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 2 emissions - Electricity (market-based),tCO2e,52477,55325,52234,55959
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,73698,74283,67795,72396
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,4075,2274,,1388
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Air travel,tCO2e,,2514,77,
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Employee commuting,tCO2e,3161,2894,2765,4035
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Transport and distribution,tCO2e,16385,15009,20518,19926
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Packaging materials,tCO2e,19140,19936,11415,11642
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Paper consumption,tCO2e,50,67,,77
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Waste generated,tCO2e,1063,1657,2171,3843
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Water consumption,tCO2e,365,347,422,544
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Electricity transmission & distribution losses,tCO2e,6261,6528,5270,5428
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Scope 1 fuels,tCO2e,2780,,,
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions - Car hire and accommodation,tCO2e,,1862,180,
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,53280,48712,42817,46883
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,126978,122995,109613,119279
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Out-of-scope emissions,tCO2e,371,619,1091,3571
Adcock Ingram,Healthcare,South Africa,Africa,Emissions,Carbon intensity,tCO2e/FTE,28.913,30.258,30.497,30.32
Adcock Ingram,Healthcare,South Africa,Africa,Waste,Waste to landfill,%,16,,,
Adcock Ingram,Healthcare,South Africa,Africa,Waste,Waste recycled,%,84,,,40
Adcock Ingram,Healthcare,South Africa,Africa,Waste,Waste recycled,Tonnes,3501,,,1163
Adcock Ingram,Healthcare,South Africa,Africa,Waste,Waste to landfill,Tonnes,672,,,1163
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water consumption,kL,399344.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water - Municipality,kL,379377.0,,,355002.0
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water - Borehole,kL,15073.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water - Groundwater,kL,394450.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water recycled - Greywater,kL,4894.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Water,Water consumption,kL,399344.0,,,
Adcock Ingram,Healthcare,South Africa,Africa,Energy,Electricity generation - Grid,GJ,181650.6396,,,
Adcock Ingram,Healthcare,South Africa,Africa,Energy,Electricity generation - Solar,GJ,9199.0332,,,
Adcock Ingram,Healthcare,South Africa,Africa,Energy,Electricity generation - Generators,GJ,12149.8992,,,
Adcock Ingram,Healthcare,South Africa,Africa,Energy,Electricity consumption,GJ,202999.572,,,193.7052
Adcorp,Industrials,South Africa,Africa,Water,Water consumption,kL,18792.0,,,
Adcorp,Industrials,South Africa,Africa,Energy,Electricity consumption,GJ,8559.1728,,,
Adcorp,Industrials,South Africa,Africa,Energy,Energy generated from solar PV systems,GJ,1936.278,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste recycled,%,30,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste recycled,Tonnes,6.2,,,
Adcorp,Industrials,South Africa,Africa,Energy,Diesel consumption,kL,74.505,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste to landfill,%,70,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste to landfill,Tonnes,14.50,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste - Cans,Tonnes,0.23,,,
Adcorp,Industrials,South Africa,Africa,Waste,"Waste - Cardboard, paper",Tonnes,4.72,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste - Plastic,Tonnes,1.03,,,
Adcorp,Industrials,South Africa,Africa,Waste,Waste - Tetrapak,Tonnes,0.22,,,
Adcorp,Industrials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,201,,,
Adcorp,Industrials,South Africa,Africa,Emissions,Scope 1 emissions - Stationary fuel used in generators,tCO2e,201,,,
Adcorp,Industrials,South Africa,Africa,Emissions,Scope 1 emissions - On-site renewable energy generation,tCO2e,0,,,
Adcorp,Industrials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,2520,,,
Adcorp,Industrials,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,2721,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Energy,Energy consumption,MW,24035,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Energy,Total group spend on grid electricity,Rmillion,62.9,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Energy,LED lights intsalled,Number,546,1761,2570,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Water,Water consumption,kL,54500.0,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Water,Water withdrawn - Municipality,%,92.3,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Water,Water withdrawn - Boreholes,%,3.4,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Water,Waste water reused,%,4.3,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Water,Water consumption spend,Rmillion,28,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Waste,Compost,Tonnes,3000,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Environment,Trees planted,Number,403,1156,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Carbon footprint,tCO2e,24051,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Carbon intensity,tCO2e/ZARm,0.003,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Carbon intensity,tCO2e/student,0.26,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 2 emissions - Electricity,tCO2e,21166,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 1 emissions - Generators,tCO2e,2303,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 1 emissions - Own vehicles,tCO2e,567,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 1 emissions - LPG (gas),tCO2e,15,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,24051,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,2885,,,
ADvTECH Group,Consumer Defensive,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,21166,,,
AECI,Basic Materials,South Africa,Africa,Environment,Environmental incidents,Number,0,6,14,29
AECI,Basic Materials,South Africa,Africa,Energy,Electricity from renewable sources,GJ,3024.0,0.0,,
AECI,Basic Materials,South Africa,Africa,Environment,Moderate environmental incidents,Number,3,,,
AECI,Basic Materials,South Africa,Africa,Water,Potable water consumption,kL,1678865.0,1793455.0,1755929.0,2034467.0
AECI,Basic Materials,South Africa,Africa,Water,Effluent discharge - sea or sewer,kL,652572.0,751880.0,722573.0,619357.0
AECI,Basic Materials,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,439888,493801,501334,575375
AECI,Basic Materials,South Africa,Africa,Energy,Electricity consumption,GJ,755661.6,784771.2000000001,804308.4,821034.0
AECI,Basic Materials,South Africa,Africa,Energy,Energy consumption,GJ,3216617,3390023,2822639,2930501
AECI,Basic Materials,South Africa,Africa,Waste,Hazardous waste,Tonnes,13866,16783,14035,15844
AECI,Basic Materials,South Africa,Africa,Waste,Waste recycled,Tonnes,4016,3571,3372,3288
AECI,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,213711,267919,266291,334225
AECI,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,226177,225882,235043,241150
AECI,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,1533299,1602633,,
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,1804578,1879503,2016832,2060511
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,59402,58914235,,
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Energy,Energy consumption,GJ,7693348,7577456,8444099,8642520
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Energy,Electricity consumption,GJ,4791600.0,4970232.0,5554476.0,5627916.0
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Energy,Diesel consumption,kL,79200.0,71241.0,78852.0,82572.0
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Water,Water withdrawn,kL,21274743.0,17393796.0,20034604.0,20267668.0
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Water,Water reuse efficiency,%,78,79,78,72
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Water,Water withdrawn - Operational,kL,18291911.0,16803679.0,19380928.0,18967229.0
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Water,Water output,kL,733063.0,242836.0,866552.0,1045647.0
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Waste,Waste disposed - Hazardous,Tonnes,4091,3073,,
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Waste,Waste recycled,Tonnes,5869,6793,5227,
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Emissions,NOx,Tonnes,374,366,372,398
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Emissions,SOx,Tonnes,249,257,263,274
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Emissions,Particulate matter (PM),Tonnes,213,276,290,267
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Land and biodiversity,Land rehabilitated,ha,14,26,,
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Land and biodiversity,Land disturbed,ha,111,109,,
Afrimat,Basic Materials,South Africa,Africa,Energy,Electricity consumption,GJ,170640.0,151560.0,153720.0,119520.0
Afrimat,Basic Materials,South Africa,Africa,Water,Water consumption,kL,1384706.0,810024.0,518029.0,633.822
Afrimat,Basic Materials,South Africa,Africa,Energy,Fuel consumption,kL,15000.0,16700.0,13200.0,14300.0
Afrimat,Basic Materials,South Africa,Africa,Land and biodiversity,Land rehabilitated,ha,26.3,17,99.7,16.0
Afrimat,Basic Materials,South Africa,Africa,Emissions,Carbon intensity,tCO2e/Tonnes,0.008,0.007,0.008,0.010
Afrimat,Basic Materials,South Africa,Africa,Emissions,Carbon intensity,tCO2e/employee,59.9,71.2,67.8,77.0
Afrimat,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,112789.6,125619.9,89662.0,115847.7
Afrimat,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,50194.3,44569.8,45265.8,33179.2
Afrimat,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,10062.0,9095.0,151178.6,31224.0
Afrimat,Basic Materials,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,173045.8,179284,151179,180300
Afrimat,Basic Materials,South Africa,Africa,Waste,Waste generated,tCO2e,64,154,186,187.0
Afrimat,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,8.2,7.1,6.9,29.4
AfroCentric Group,Healthcare,South Africa,Africa,Water,Water consumption,kL,31751.0,20486.0,27326.0,
AfroCentric Group,Healthcare,South Africa,Africa,Water,Water withdrawn,kL,31751.0,20486.0,,
AfroCentric Group,Healthcare,South Africa,Africa,Water,Water intensity,kL/m2,251.246,180.028,,
AfroCentric Group,Healthcare,South Africa,Africa,Energy,Electricity consumption,GJ,28090.8,28605.600000000002,31485.600000000002,
AfroCentric Group,Healthcare,South Africa,Africa,Energy,Diesel consumption,kL,290.497,49.512,31.359,
AfroCentric Group,Healthcare,South Africa,Africa,Emissions,Calculated total GHG inventory,tCO2e,15246,16142,,
AfroCentric Group,Healthcare,South Africa,Africa,Emissions,Direct GHG emissions,tCO2e,813,794,,
AfroCentric Group,Healthcare,South Africa,Africa,Emissions,Indirect GHG emissions,tCO2e,14433,15348,,
Agra,Consumer Defensive,South Africa,Africa,Energy,Energy generated,GJ,38050.8768,,24477.2568,17934.858
Agra,Consumer Defensive,South Africa,Africa,Emissions,Carbon emissions reduction,tCO2e,10887,,7003,5131
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Scope 1 emissions - Stationary fuels,kL,16.1747,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Scope 1 emissions - Mobile fuels,kL,23.8706,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Scope 1 emissions - Fugitive emissions (Kyoto gases),Tonnes,0.005,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity - location based,GJ,23832.650159999997,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Scope 2 emissions - Purchased electricity - market based,GJ,23832.650159999997,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Carbon intensity,tCO2e/FTE,2.8,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Carbon intensity,tCO2e/m2,0.14,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Emissions,Carbon intensity,tCO2e/ZAR,0.04,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste generated,Tonnes,123.9,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste per employee,Tonnes,0.05,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste recycled,Tonnes,35.42,5061,1968,20422
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,E-waste recycled,Tonnes,8.8,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Mixed office,%,70.4,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Paper and board,%,24.4,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Organic or wet,%,2.7,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Plastic,%,1.3,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Glass,%,0.6,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Hazardous,%,0.4,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Tin or can,%,0.2,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Water,Water consumption,kL,8355.3,28287.0,33018.0,11785.0
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Water,Water intensity,Litres/ZAR,110,,,
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Energy,Electricity consumption,GJ,17615.5272,14937.8328,20370.528,7685.600399999999
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Energy,Diesel consumption,kL,89.0,44.0,30.0,21.0
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste - Paper,Tonnes,773,1050,1281,1964
Alexander Forbes Group Holdings Limited,Financial Services,South Africa,Africa,Waste,Waste to landfill,Tonnes,63.204,14.65,15.00,29.85
Altron,Technology,South Africa,Africa,Waste,Waste recycled,Tonnes,430,,,
Altron,Technology,South Africa,Africa,Waste,Paper and cardboard,Tonnes,94,,,
Altron,Technology,South Africa,Africa,Waste,Waste recycled - General,Tonnes,103,,,
Altron,Technology,South Africa,Africa,Waste,E-waste recycled,Tonnes,322,,,
Altron,Technology,South Africa,Africa,Waste,Reduction of volume of paper used,Tonnes,18,,,
Altron,Technology,South Africa,Africa,Waste,Waste diverted from landfill,Tonnes,103,,,
Altron,Technology,South Africa,Africa,Waste,Waste recycled - Wet,Tonnes,0.72,,,
Altron,Technology,South Africa,Africa,Waste,Waste to landfill,Tonnes,43,,,
Altron,Technology,South Africa,Africa,Water,Water intensity,kL/m2,570.0,,,
Altron,Technology,South Africa,Africa,Energy,Energy from renewables,GJ,2105.5715999999998,1772.46,,
Altron,Technology,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,7382,9901,5834,
Altron,Technology,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,11181,8977,10592,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,10418,5338,2455,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Business travel,tCO2e,3218,2693,,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Employee commuting,tCO2e,7142,2588,,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Paper usage,tCO2e,17,20,,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Water,tCO2e,20,13,,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Waste recycled,tCO2e,2,2,,
Altron,Technology,South Africa,Africa,Emissions,Scope 3 emissions - Waste to landfill,tCO2e,20,22,,
Altron,Technology,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,29981,24217,18881,
Altron,Technology,South Africa,Africa,Emissions,Carbon intensity,tCO2e/FTE,3.4,3.5,,
Altron,Technology,South Africa,Africa,Emissions,Carbon intensity,tCO2e/m2,0.2,0.2,,
Andrada Mining,Basic Materials,South Africa,Africa,Environment,Environmental incidents,Number,1,,,
Andrada Mining,Basic Materials,South Africa,Africa,Emissions,Total Scope 1 and Scope 2 emissions,tCO2e,10093,,,
Andrada Mining,Basic Materials,South Africa,Africa,Environment,Diesel consumption - Mobile sources,kL,1283.272,,,
Andrada Mining,Basic Materials,South Africa,Africa,Environment,Diesel consumption - Stationary sources (onsite backup generators),kL,6.373,,,
Andrada Mining,Basic Materials,South Africa,Africa,Energy,Total energy consumption,GJ,77725,,,
Andrada Mining,Basic Materials,South Africa,Africa,Energy,Energy efficiency rate,GJ/tonne,0.14,,,
Andrada Mining,Basic Materials,South Africa,Africa,Water,Water consumption,kL,116435.0,,,
Andrada Mining,Basic Materials,South Africa,Africa,Water,Water consumption - Groundwater abstraction,%,55,,,
Andrada Mining,Basic Materials,South Africa,Africa,Water,Water consumption - Surface water abstraction,%,45,,,
Andrada Mining,Basic Materials,South Africa,Africa,Water,Water withdrawn intensity rate,Litres/tonne,330,,,
Andrada Mining,Basic Materials,South Africa,Africa,Water,Water use efficiency,%,34,,,
Andrada Mining,Basic Materials,South Africa,Africa,Waste,Waste generated,Tonnes,132.7,,,
Anglo American,Basic Materials,South Africa,Africa,Emissions,Total Scopes 1 and 2 emissions,tCO2e,12500000,13300000,14500000,16100000
Anglo American,Basic Materials,South Africa,Africa,Emissions,Scope 1 emissions,tCO2e,7500000,8300000,9000000,10000000
Anglo American,Basic Materials,South Africa,Africa,Emissions,Scope 2 emissions,tCO2e,5000000,5000000,5700000,6100000
Anglo American,Basic Materials,South Africa,Africa,Emissions,Energy consumption,GJ,89000000,83000000,840000,81000000
Anglo American,Basic Materials,South Africa,Africa,Emissions,Energy intensity,GJ/Tonnes,41.5,38.4,38.6,36.6
Anglo American,Basic Materials,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,96000000,98500000,98500000,114800000
Anglo American,Basic Materials,South Africa,Africa,Environment,Environmental incidents,Number,0,1,1,1
Anglo American,Basic Materials,South Africa,Africa,Water,Water withdrawn - Freshwater,kL,62705000.0,62656000.0,63535000.0,63519000.0
Anglo American,Basic Materials,South Africa,Africa,Water,Water consumption,kL,132297000.0,,,
Anglo American,Basic Materials,South Africa,Africa,Emissions,SO2,Tonnes,10325,17480,8224,29800
Anglo American,Basic Materials,South Africa,Africa,Emissions,NO2,Tonnes,29916,27456,27328,25746
Anglo American,Basic Materials,South Africa,Africa,Waste,Waste to landfill,Tonnes,81389,80639,55743,57275
Anglo American,Basic Materials,South Africa,Africa,Waste,Waste to landfill - Hazardous,Tonnes,25980,25616,19759,18864
